Processing staged batch batch_20260814T155424Z (10000 dispatches).
Stage A: classifying notes for 9050 dispatches...
  [A 1/9050] 4CFA85F4-E524-4CBA-856D-914156E84204: 2/8 notes useful
  [A 2/9050] F4FB99BA-CBC6-4F9F-AD49-C7A0C9FDF428: 2/5 notes useful
  [A 3/9050] 47783758-D251-4019-B698-3430C2554AA6: 5/16 notes useful
  [A 4/9050] E52E26FE-458B-4E14-BD23-BD16E67714F6: 3/9 notes useful
  [A 5/9050] 0F9012AA-7D27-4530-A940-B3A9778D1AA4: 8/23 notes useful
  [A 6/9050] 3DBF3823-E38A-4C04-A03E-DE25121B1B9D: 2/6 notes useful
  [A 7/9050] 6308D1FB-C1EE-4A44-84FA-E81263F21716: 0/1 notes useful
  [A 8/9050] F1FC100B-3E94-45D6-82BB-6984F36BE64F: 4/9 notes useful
  [A 9/9050] 4A48EB0A-3B57-4752-82ED-12B2B0912C54: 2/9 notes useful
  [A 10/9050] 9B0296CE-D0B2-429B-BB85-D2CD10A5544C: 2/3 notes useful
  [A 11/9050] 9716B2D3-0C53-4486-BEAC-12CAA705D4F8: 4/17 notes useful
  [A 12/9050] 7171DE1C-EBB1-44CF-8E0F-A91F8DA61EBB: 6/21 notes useful
Connection error (attempt 1/8): ReadTimeout: The read operation timed out. Waiting 15s before retrying...
  [A 13/9050] 6496C079-F109-4379-AE7D-B40CCB370110: 7/15 notes useful
  [A 14/9050] D0A94127-612A-465C-8904-FD8C2AA51914: 0/1 notes useful
  [A 15/9050] C389198B-7B48-4558-AAE2-8BB15FB06843: 2/7 notes useful
  [A 16/9050] 328A01B2-B999-47D7-A794-2D6041301353: 3/8 notes useful
  [A 17/9050] B7C5F477-9BBF-43DB-A4CA-EBCFE486F220: 6/15 notes useful
  [A 18/9050] CB1B111A-DC55-43D7-9C82-06F31FD801E4: 0/2 notes useful
  [A 19/9050] 3D8FF7E5-FC77-4739-BCB8-627784393C14: 1/4 notes useful
  [A 20/9050] 2308380B-7BA3-4FF9-ABFF-05C0D1F4783E: 0/1 notes useful
Connection error (attempt 1/8): ReadTimeout: The read operation timed out. Waiting 15s before retrying...
  [A 21/9050] 44A70879-2F5F-46D5-9940-5A96380FFA0C: 3/8 notes useful
  [A 22/9050] 501E861F-1652-4A69-878C-0412E9177909: 4/30 notes useful
  [A 23/9050] 4F357081-DD76-410F-B53A-9094A2A09C65: 1/5 notes useful
  [A 24/9050] F2C73238-4D04-4A9C-9BAE-290E717B595E: 0/1 notes useful
  [A 25/9050] 3CD1DC27-CE17-43AD-B3B4-021AAC7074CB: 1/4 notes useful
  [A 26/9050] 254A249B-FD6F-446E-8822-C6659CAADBB8: 1/5 notes useful
  [A 27/9050] 93311831-C6B3-49ED-AAA0-F5D089B73CAE: 0/1 notes useful
Connection error (attempt 1/8): ReadTimeout: The read operation timed out. Waiting 15s before retrying...
  [A 28/9050] F2898BA3-8333-4971-ACD0-69BF7C25813F: 0/1 notes useful
  [A 29/9050] 27CE7CED-6B90-48BE-88F7-E555253E88EB: 0/1 notes useful
  [A 30/9050] 1B2FA3C6-EC13-478C-85AF-276CE9CA69AD: 1/6 notes useful
  [A 31/9050] 99FA8C7A-419D-4411-A07A-760D56019281: 3/13 notes useful
  [A 32/9050] 2B514861-C205-4DBC-A925-EB388978911D: 1/8 notes useful
  [A 33/9050] FCBC4D10-B699-4F45-87E0-361432E4E20D: 3/6 notes useful
  [A 34/9050] CC62BBAA-A90D-49D7-A40C-17AF93462C89: 1/3 notes useful
  [A 35/9050] 9F162BAF-A7D1-441D-BAAA-729D24FAE5FF: 2/7 notes useful
  [A 36/9050] 212CDADE-C50D-484E-98C0-326EB25E9AF3: 8/20 notes useful
  [A 37/9050] 489E63AF-193D-4632-A3FC-9380C76EBF5C: 1/4 notes useful
  [A 38/9050] 3FEA1DB7-1493-4002-9180-EDB2CF207397: 8/25 notes useful
  [A 39/9050] 10378DFB-0AD7-4FD8-8B9A-059DBAD33D0D: 2/5 notes useful
  [A 40/9050] 42F8DD6B-4953-4675-83C0-8CA916B4EBBB: 1/7 notes useful
  [A 41/9050] 4FBBFABD-05E7-40E6-9C51-7D14A7642A11: 3/6 notes useful
  [A 42/9050] 7A4F0FB4-3E89-4CF5-B7C6-4BAB256CD3CB: 2/15 notes useful
  [A 43/9050] BA9FF26B-A4C6-440A-9C3C-D69A9C819E06: 6/37 notes useful
  [A 44/9050] B73A1C42-66A1-4DF8-B1D7-D257F3BAAD6A: 1/7 notes useful
  [A 45/9050] 65B68F4E-D742-4354-BDD9-1110F9BF0406: 5/20 notes useful
Connection error (attempt 1/8): ReadTimeout: The read operation timed out. Waiting 15s before retrying...
Connection error (attempt 2/8): ReadTimeout: The read operation timed out. Waiting 30s before retrying...
  [A 46/9050] 03D23F94-B0F5-4424-889A-EC64C48D050A: 1/7 notes useful
  [A 47/9050] 20D89CF2-4185-4994-B0C7-5D477823EC59: 1/11 notes useful
  [A 48/9050] 740D65B1-6707-4EDF-85DE-23106D5EDA5F: 1/4 notes useful
  [A 49/9050] 063C0D92-5181-4C1A-931A-4094040E38E2: 3/10 notes useful
  [A 50/9050] 7B012FA3-EC93-4920-85E7-0225CB89C6C7: 1/7 notes useful
  [A 51/9050] 6FE036A5-9D83-447F-9A6D-5021D54AAA5A: 1/5 notes useful
  [A 52/9050] 7F698AB7-AE3D-49F9-9990-4DF941AA73AA: 2/7 notes useful
  [A 53/9050] 773D5F9B-39C0-4C32-903A-9A2A93C84742: 1/4 notes useful
  [A 54/9050] 5FD01AC6-DDCD-48DB-B26C-8AA6C5C87FA3: 2/7 notes useful
  [A 55/9050] 1FFF1D78-11A0-43D7-BB35-53ACDD7B863B: 0/2 notes useful
  [A 56/9050] 79ED799B-F844-4806-8FC8-533127AF883C: 0/2 notes useful
  [A 57/9050] 2A9A1439-1DF6-4846-80FE-4A9356086A7E: 1/6 notes useful
  [A 58/9050] 6AD26259-0C58-4431-8B26-3BC0CB45DDE8: 1/4 notes useful
  [A 59/9050] FFA9EAF2-D8AB-4DC0-94AF-15A1E01976A4: 2/6 notes useful
  [A 60/9050] 5B9ADAD0-077F-4300-9447-FA7B0A0F27F1: 3/17 notes useful
